FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022",CHANGE IN EMISSIONS (2021 TO 2022),CHANGE IN EMISSIONS (2011 TO 2022),SECTORS
3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),C,"76,373","72,407","80,335","81,855","79,440","79,174","76,595","104,996","106,258","82,308","82,788","87,926","5,139","11,553",Other
3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),"C,L,N,OO","73,653","56,199","64,664","66,307","45,416","37,814","31,525","62,459","55,977","48,362","63,760","24,092","-39,669","-49,562","Chemicals, Minerals"
3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),C,"39,973","36,169","37,107","39,454","36,317","31,373","37,907","38,918","39,938","39,808","36,926","37,329",403,"-2,644","Pulp and Paper, Other"
ADM - MANKATO,1002154,2019 3RD AVENUE,44.186805,-93.995493,MANKATO,BLUE EARTH COUNTY,MN,56001,ARCHER DANIELS MIDLAND CO (100%),C,"129,095","96,362","137,338","138,201","143,286","138,908","129,893","129,575","90,585","139,900","128,884","106,717","-22,166","-22,378",Other
ADVANCED DISPOSAL ROLLING HILLS LANDFILL INC,1001843,175 COUNTY ROAD 37 NE,45.2494,-93.87594,BUFFALO,WRIGHT COUNTY,MN,55313,GFL ENVIRONMENTAL USA INC (100%),,"14,213","10,355","8,371",---,---,---,---,---,---,---,---,---,---,---,Waste
AG PROCESSING INCORPORATED A COOPERATIVE,1002291,800 DIAGONAL STREET,44.93265,-96.056491,DAWSON,LAC QUI PARLE COUNTY,MN,56232,AG PROCESSING INC A COOPERATIVE (100%),C,"23,534","22,220","24,992","32,786","32,545","33,267","34,377","36,195","42,326","38,906","36,929","39,251","2,321","15,717",Other
AGRI ENERGY LLC,1005284,502 SOUTH WALNUT AVENUE,43.648333,-96.224444,LUVERNE,ROCK COUNTY,MN,56156,GEVO INC (100%),"C,II","39,011","20,053","8,321","29,169",327,"35,119","39,921","37,588","27,128","5,563","2,212","2,275",63,"-36,736","Chemicals, Waste"
AL CORN CLEAN FUEL,1005149,797 5th Street,44.049412,-93.017379,CLAREMONT,DODGE COUNTY,MN,55924,AL-CORN CLEAN FUEL (100%),C,"76,105","74,912","78,377","75,060","71,172","78,167","77,046","139,473","165,458","162,045","187,877","203,160","15,283","127,056","Other, Waste"
ALLIANCE PIPELINE - OLIVIA 23-A,1005705,38884 870TH AVE,44.8491,-94.8969,BIRD ISLAND,RENVILLE COUNTY,MN,55310,Enbridge (US) Inc (100%),"C,W","91,156","84,722","85,767","93,088","89,871","90,468","95,617","90,212","101,106","65,609","83,213","92,902","9,689","1,746",Petroleum and Natural Gas Systems
AMERICAN CRYSTAL SUGAR - CROOKSTON,1006354,1201 Hwy 75 South,47.764625,-96.629975,CROOKSTON,POLK COUNTY,MN,56716,AMERICAN CRYSTAL SUGAR CO (100%),"C,S,TT","298,459","305,109","308,712","314,075","320,408","331,990","355,412","367,653","326,691","260,092","292,277","303,364","11,087","4,906","Minerals, Waste"
AMERICAN CRYSTAL SUGAR - E GRAND FORKS,1005751,1020 Business Hwy 2,47.925833,-97.006111,EAST GRAND FORKS,POLK COUNTY,MN,56721,AMERICAN CRYSTAL SUGAR CO (100%),"C,S,TT","528,064","593,083","678,261","635,741","336,140","332,895","390,925","371,487","415,704","314,640","385,350","358,089","-27,261","-169,974","Minerals, Waste"
AMERICAN CRYSTAL SUGAR - MOORHEAD,1006877,2500 NORTH 11TH STREET,46.903056,-96.759722,MOORHEAD,CLAY COUNTY,MN,56560,AMERICAN CRYSTAL SUGAR CO (100%),"C,S,TT","312,941","321,416","324,341","338,732","318,469","337,651","351,661","364,566","324,868","277,534","288,161","312,400","24,240",-540,"Minerals, Waste"
ARCHER DANIELS MIDLAND,1001945,400 WEST ERIE ROAD,44.474074,-95.783525,MARSHALL,LYON COUNTY,MN,56258,ARCHER DANIELS MIDLAND CO (100%),"C,II,PP","203,120","179,604","166,062","164,526","171,891","176,266","185,159","171,572","179,689","172,750","173,697","170,379","-3,318","-32,741","Other, Waste"
AUSTIN UTILITIES NORTHEAST POWER STATION,1005945,3511 11TH ST. N.E.,43.7014,-92.9626,AUSTIN,Mower,MN,55912,City of Austin Minnesota (100%);,,"19,973","7,978","2,179",166,---,---,---,---,---,---,---,---,---,---,Power Plants
Agra Resources LLC dba POET BIOREFINING - GLENVILLE,1000857,15300 780TH AVE,43.576274,-93.301773,ALBERT LEA,FREEBORN COUNTY,MN,56007,POET LLC (100%),"C,PP","50,921",---,---,---,---,---,---,---,---,---,---,---,---,---,Other
Allen S King,1000691,1103 KING PLANT RD,45.03,-92.7786,OAK PARK HEIGHTS,Washington,MN,55003,XCEL ENERGY INC (100%),"C,D","3,322,884","3,257,176","2,487,491","2,942,841","3,016,435","2,769,177","2,954,464","2,705,407","1,821,782","856,199","1,410,074","1,266,378","-143,696","-2,056,506",Power Plants
Alliance Pipeline L.P. Albert Lea 25-A,1006841,85485 200th Street,43.64461,-93.15942,Albert Lea,FREEBORN COUNTY,MN,56007,Enbridge (US) Inc (100%),"C,W","81,668","89,266","85,687","91,019","87,456","84,911","93,866","92,329","95,786","42,970","82,559","92,774","10,215","11,106",Petroleum and Natural Gas Systems
Anchor Glass Container Corporation. - Plant 12,1004942,4108 VALLEY INDUSTRIAL BLVD N,44.79875,-93.46714,SHAKOPEE,SCOTT COUNTY,MN,55379,ANCHOR GLASS CONTAINER CORP (100%),"C,N","82,777","93,341","78,295","79,063","79,950","79,591","74,034","77,687","80,395","82,563","80,913","79,532","-1,381","-3,245",Minerals
Anoka Municipal Regional Landfill,1011466,14730 NW Sunfish Blvd,45.23715,-93.42943,Ramsey,ANOKA COUNTY,MN,55303,STATE OF MINNESOTA (100%),HH,"36,217","35,736","29,671","35,096","35,980","34,330","33,349","32,995","32,475","32,051","31,173","30,024","-1,149","-6,193",Waste
ArcelorMittal Minorca Mine,1003669,5950 Old Highway 53,47.5607,-92.520349,Virginia,ST. LOUIS COUNTY,MN,55792,CLEVELAND-CLIFFS INC (100%),"C,Q","332,779","238,378","239,085",---,---,---,---,---,---,---,---,---,---,---,Metals
BLANDIN PAPER COMPANY,1006102,115 SOUTHWEST 1ST STREET,47.231267,-93.572742,GRAND RAPIDS,ITASCA,MN,55744,UPM NORTH AMERICA (100%),,"21,254","19,982","19,082","18,763","19,709",---,---,---,---,---,---,---,---,---,Pulp and Paper
BOISE WHITE PAPER LLC,1007994,400 2ND STREET,48.606,-93.4071,INTERNATIONAL FALLS,KOOCHICHING COUNTY,MN,56649,PACKAGING CORP OF AMERICA (100%),"AA,C,PP","190,688","195,989","187,547","137,932","150,743","168,043","179,059","164,949","164,001","154,518","156,405","155,242","-1,163","-35,446",Pulp and Paper
BURNSVILLE SANITARY LANDFILL,1007743,2650 CLIFF RD W,44.785343,-93.318085,BURNSVILLE,DAKOTA COUNTY,MN,55337,WASTE MANAGEMENT INC (100%),"C,HH","57,051","50,697","51,763","62,510","67,551","55,709","68,659","57,136","75,385","55,751","46,740","56,519","9,779",-532,Waste
